date,AC_W,Curr_Short_Battery,Curr_Long_Battery,Projected_Power_Production,Season,Predicted_Power_Consumption,Select_Storage_Battery,Select_Supply_Battery,Light_Control,month,hour
2022-01-01 00:00:00,0.0,2974.9995,200000.0,0.0,0,0,0,2,1,1,0
2022-01-01 01:00:00,0.0,2974.9995,199825.0,0.0,0,0,0,2,1,1,1
2022-01-01 02:00:00,0.0,2974.9995,199650.0,0.0,0,0,0,2,1,1,2
2022-01-01 03:00:00,0.0,2974.9995,199475.0,0.0,0,0,0,2,1,1,3
2022-01-01 04:00:00,0.0,2974.9995,199300.0,0.0,0,0,0,2,1,1,4
2022-01-01 05:00:00,0.0,2974.9995,199125.0,0.0,0,0,0,2,1,1,5
2022-01-01 06:00:00,0.0,2974.9995,198950.0,2.9522903,0,0,0,2,1,1,6
2022-01-01 07:00:00,12.39,2974.9995,198775.0,0.0,0,0,1,2,1,1,7
2022-01-01 08:00:00,129.16,2986.1505,198600.0,52.62422,0,1,1,0,0,1,8
2022-01-01 09:00:00,295.67,3102.3945,198600.0,71.737595,0,1,1,0,0,1,9
2022-01-01 10:00:00,511.98,3368.4975,198600.0,262.90317,0,1,1,0,0,1,10
2022-01-01 11:00:00,554.95,3829.2795,198600.0,376.82803,0,1,1,0,0,1,11
2022-01-01 12:00:00,552.0,4328.7345,198600.0,436.85083,0,1,1,0,0,1,12
2022-01-01 13:00:00,483.95,4825.5345,198600.0,382.16943,0,1,1,0,0,1,13
2022-01-01 14:00:00,349.06,5261.0895,198600.0,337.308,0,1,1,0,0,1,14
2022-01-01 15:00:00,181.24,5575.2435,198600.0,177.21645,0,1,1,0,0,1,15
2022-01-01 16:00:00,55.24,5738.3595,198600.0,35.13165,0,1,1,0,0,1,16
2022-01-01 17:00:00,6.86,5788.0755,198600.0,0.0,0,0,1,1,1,1,17
2022-01-01 18:00:00,0.0,5688.933552,198600.0,0.0,0,0,0,1,1,1,18
2022-01-01 19:00:00,0.0,5583.617604,198600.0,0.0,0,0,0,1,1,1,19
2022-01-01 20:00:00,0.0,5478.301656,198600.0,0.0,0,0,0,1,1,1,20
2022-01-01 21:00:00,0.0,5372.985709,198600.0,0.0,0,0,0,1,1,1,21
2022-01-01 22:00:00,0.0,5267.669761,198600.0,0.0,0,0,0,1,1,1,22
2022-01-01 23:00:00,0.0,5162.353813,198600.0,0.0,0,0,0,1,1,1,23
2022-01-02 00:00:00,0.0,5057.037865,198600.0,0.0,0,0,0,1,1,1,0
2022-01-02 01:00:00,0.0,4951.721917,198600.0,0.0,0,0,0,1,1,1,1
2022-01-02 02:00:00,0.0,4846.405969,198600.0,0.0,0,0,0,1,1,1,2
2022-01-02 03:00:00,0.0,4741.090022,198600.0,0.0,0,0,0,1,1,1,3
2022-01-02 04:00:00,0.0,4635.774074,198600.0,0.0,0,0,0,1,1,1,4
2022-01-02 05:00:00,0.0,4530.458126,198600.0,2.4505324,0,0,0,1,1,1,5
2022-01-02 06:00:00,0.0,4425.142178,198600.0,0.0,0,0,0,1,1,1,6
2022-01-02 07:00:00,0.0,4319.82623,198600.0,0.0,0,0,0,1,1,1,7
2022-01-02 08:00:00,14.27,4214.510282,198600.0,28.464424,0,1,1,0,0,1,8
