date,AC_W,SOL_RAD_SLOPE,TEMP,WS,HM
2022-01-01 0:00,0,0,-3.1,2.3,27
2022-01-01 1:00,0,0,-4.1,1.8,33
2022-01-01 2:00,0,0,-3.7,2.5,29
2022-01-01 3:00,0,0,-4,1.5,32
2022-01-01 4:00,0,0,-4.1,1.6,29
2022-01-01 5:00,0,0,-4.3,1.3,30
2022-01-01 6:00,0,0,-4.5,1.8,32
2022-01-01 7:00,12.39,29.17,-5.1,2,38
2022-01-01 8:00,129.16,110.25,-5.5,2,37
2022-01-01 9:00,295.67,245.29,-2.5,1.3,35
2022-01-01 10:00,511.98,364.18,0.1,1.7,25
2022-01-01 11:00,554.95,439.87,1.9,1.1,27
2022-01-01 12:00,552,461.93,2.9,1.3,26
2022-01-01 13:00,483.95,433.56,3.1,1.1,37
2022-01-01 14:00,349.06,346.61,4.3,1.3,42
2022-01-01 15:00,181.24,226.44,4.9,1.1,43
2022-01-01 16:00,55.24,87.21,4.8,1,49
2022-01-01 17:00,6.86,15.97,4,0.3,47
2022-01-01 18:00,0,0,2.6,1.6,55
2022-01-01 19:00,0,0,1.3,1.4,59
2022-01-01 20:00,0,0,0,1.5,64
2022-01-01 21:00,0,0,0,1.6,57
2022-01-01 22:00,0,0,-0.3,1.9,52
2022-01-01 23:00,0,0,-0.4,1.6,48
2022-01-02 0:00,0,0,-0.2,1.5,45
2022-01-02 1:00,0,0,1.4,1.7,38
2022-01-02 2:00,0,0,1,1.5,39
2022-01-02 3:00,0,0,0.9,1.9,47
2022-01-02 4:00,0,0,1.7,0.7,46
2022-01-02 5:00,0,0,4.4,2.8,44
2022-01-02 6:00,0,0,3.1,0.5,48
2022-01-02 7:00,0,0,3.6,1.5,54
2022-01-02 8:00,14.27,58.04,3.7,0.8,58
2022-01-02 9:00,118.42,107.96,5.3,2.5,55
2022-01-02 10:00,394.51,290.9,6.2,3.4,49
2022-01-02 11:00,479.02,386.1,6.8,3.7,46
2022-01-02 12:00,517.59,445.89,7,4.1,42
2022-01-02 13:00,469.46,421.17,7.4,4.9,35
2022-01-02 14:00,350.9,347.7,7.7,2.9,26
2022-01-02 15:00,182.12,229.29,8,2.8,21
2022-01-02 16:00,56.38,89.1,7.5,2.5,20
2022-01-02 17:00,10.26,10.35,6,2,22
2022-01-02 18:00,0,0,4.9,2.1,26
2022-01-02 19:00,0,0,4.1,2.9,30
2022-01-02 20:00,0,0,3.6,1.3,31
2022-01-02 21:00,0,0,2.8,1.4,33
2022-01-02 22:00,0,0,2.7,1.2,32
2022-01-02 23:00,0,0,2.5,2.3,28
2022-01-03 0:00,0,0,2.7,2.2,22
2022-01-03 1:00,0,0,2,1.3,28
2022-01-03 2:00,0,0,0.9,1.7,32
2022-01-03 3:00,0,0,0.3,1.5,32
2022-01-03 4:00,0,0,2.9,3.3,19
2022-01-03 5:00,0,0,0.6,0.3,27
2022-01-03 6:00,0,0,0.3,0.9,27
2022-01-03 7:00,0,0,0.5,1.8,26
2022-01-03 8:00,37.73,57.82,0.5,2.2,24
2022-01-03 9:00,300.53,251.93,1.9,1.3,24
2022-01-03 10:00,505.99,367.54,4,2.4,15
2022-01-03 11:00,548.25,444.35,5.1,1.2,15
2022-01-03 12:00,566.96,504.07,5.1,3.9,15
2022-01-03 13:00,464.58,420.55,5.4,4.5,15
2022-01-03 14:00,333.76,335.45,5.6,3.9,19
2022-01-03 15:00,178.39,222.69,5.1,3.9,24
2022-01-03 16:00,58.44,90.27,5,2.7,28
2022-01-03 17:00,13.61,16.96,3.7,3.5,30
2022-01-03 18:00,0,0,3.2,5.4,33
2022-01-03 19:00,0,0,3,5.1,36
2022-01-03 20:00,0,0,2.7,3.3,40
2022-01-03 21:00,0,0,3.3,2.8,41
2022-01-03 22:00,0,0,3.1,1.8,44
2022-01-03 23:00,0,0,3.2,2.3,47
2022-01-04 0:00,0,0,3.4,0.9,47
2022-01-04 1:00,0,0,3.2,1.9,51
2022-01-04 2:00,0,0,3.4,1.6,49
2022-01-04 3:00,0,0,3.7,2.8,45
2022-01-04 4:00,0,0,4.4,0.7,40
2022-01-04 5:00,0,0,3,0.6,43
2022-01-04 6:00,0,0,3.4,2.2,30
2022-01-04 7:00,0,0,2.6,2.3,29
2022-01-04 8:00,52.74,149.19,2.5,1.9,29
2022-01-04 9:00,272.16,250.33,3.2,2.6,26
2022-01-04 10:00,516.14,367.87,4,1.9,22
2022-01-04 11:00,568.5,444.25,4.1,2.4,25
2022-01-04 12:00,555.94,469.33,4.2,3.1,31
2022-01-04 13:00,492.82,439.14,4.2,3.4,38
2022-01-04 14:00,364.47,358.35,4.4,3.5,40
2022-01-04 15:00,189.57,235.56,4.5,3.4,46
2022-01-04 16:00,58.9,99.35,4.2,2.5,44
2022-01-04 17:00,10.38,11.81,3.3,2,47
2022-01-04 18:00,0,0,2.9,1.8,49
2022-01-04 19:00,0,0,2.3,1.5,50
2022-01-04 20:00,0,0,0.6,1.9,57
2022-01-04 21:00,0,0,0.1,1.9,59
2022-01-04 22:00,0,0,-0.5,1.7,61
2022-01-04 23:00,0,0,-1.5,1.5,65
2022-01-05 0:00,0,0,-1.8,1.2,67
2022-01-05 1:00,0,0,-1.9,1.3,64
2022-01-05 2:00,0,0,-1.9,1.4,58
2022-01-05 3:00,0,0,-2.2,1.3,60
2022-01-05 4:00,0,0,-2.3,1.7,63
2022-01-05 5:00,0,0,-2.4,1.4,68
2022-01-05 6:00,0,0,-2.1,0.9,69
2022-01-05 7:00,0,0,-2.4,1.6,73
2022-01-05 8:00,61.28,140.79,-2.3,1.3,74
2022-01-05 9:00,125.55,196.88,0.5,1.4,65
2022-01-05 10:00,0,0,2.8,1.3,55
2022-01-05 11:00,0,0,3.7,2.1,56
2022-01-05 12:00,0,0,4.2,1.5,59
2022-01-05 13:00,0,0,4.6,2.2,71
2022-01-05 14:00,31.72,227.72,4.5,1.9,73
2022-01-05 15:00,7.33,0,4.2,1.4,74
2022-01-05 16:00,7.04,10.06,4.4,0.7,69
2022-01-05 17:00,0,0,3.9,1.3,77
2022-01-05 18:00,0,0,3.6,0.8,89
2022-01-05 19:00,0,0,3.3,1,90
2022-01-05 20:00,0,0,2.8,0.9,90
2022-01-05 21:00,0,0,2.3,1.1,87
2022-01-05 22:00,0,0,2.4,0.8,83
2022-01-05 23:00,0,0,2.4,0.5,82
2022-01-06 0:00,0,0,2.4,0.9,80
2022-01-06 1:00,0,0,2.8,1,76
2022-01-06 2:00,0,0,1,0.9,85
2022-01-06 3:00,0,0,0.8,1,88
2022-01-06 4:00,0,0,0.5,1.7,89
2022-01-06 5:00,0,0,-0.3,1.5,91
2022-01-06 6:00,0,0,-0.5,1.2,89
2022-01-06 7:00,0,0,-0.5,2,87
2022-01-06 8:00,0,0,-0.8,1.1,87
2022-01-06 9:00,0,0,1.9,0.7,71
2022-01-06 10:00,0,0,4.9,0.9,52
2022-01-06 11:00,0,0,6.8,1.7,27
2022-01-06 12:00,0,0,7.2,2.6,26
2022-01-06 13:00,0,0,6.7,5.3,35
2022-01-06 14:00,0,0,6,6.5,41
2022-01-06 15:00,0,0,5.9,4.2,45
2022-01-06 16:00,0,0,5.1,4.2,47
2022-01-06 17:00,0,0,4.2,2.9,50
2022-01-06 18:00,0,0,3.8,3.3,51
2022-01-06 19:00,0,0,3.1,2.6,51
2022-01-06 20:00,0,0,2.7,2.4,53
2022-01-06 21:00,0,0,2.7,1.9,53
2022-01-06 22:00,0,0,-0.1,1.6,66
2022-01-06 23:00,0,0,-0.2,1.3,66
2022-01-07 0:00,0,0,-0.9,1.4,66
2022-01-07 1:00,0,0,-0.8,1.8,65
2022-01-07 2:00,0,0,-0.8,1.7,64
2022-01-07 3:00,0,0,-1,1.8,60
2022-01-07 4:00,0,0,-1.7,1.7,59
2022-01-07 5:00,0,0,-1.8,1.7,56
2022-01-07 6:00,0,0,-1.4,1.9,56
2022-01-07 7:00,0,0,-2,1.8,55
2022-01-07 8:00,0,0,-1,2.1,51
2022-01-07 9:00,0,0,0.8,1.2,45
2022-01-07 10:00,0,0,3.8,1.5,33
2022-01-07 11:00,0,0,6.2,1.1,27
2022-01-07 12:00,0,0,6.3,1.1,25
2022-01-07 13:00,0,0,6.9,1.8,35
2022-01-07 14:00,0,0,7.1,1.4,39
2022-01-07 15:00,0,0,7.1,1.8,39
2022-01-07 16:00,0,0,6.9,1.5,43
2022-01-07 17:00,0,0,5.7,1.5,44
2022-01-07 18:00,0,0,5,1.8,38
2022-01-07 19:00,0,0,3.7,1.4,48
2022-01-07 20:00,0,0,1.4,1.4,56
2022-01-07 21:00,0,0,0.9,2,56
2022-01-07 22:00,0,0,1.2,2.5,54
2022-01-07 23:00,0,0,0.8,1.6,50
2022-01-08 0:00,0,0,1.5,2.3,45
2022-01-08 1:00,0,0,1,1.8,45
2022-01-08 2:00,0,0,0.9,1.7,45
2022-01-08 3:00,0,0,0.7,2.1,43
2022-01-08 4:00,0,0,0.9,1.2,40
2022-01-08 5:00,0,0,0.7,1.9,40
2022-01-08 6:00,0,0,1.7,1.9,38
2022-01-08 7:00,0,0,2.1,2.3,36
2022-01-08 8:00,42.3,89.6,3.3,2.5,33
2022-01-08 9:00,212.29,177.23,4.7,1.9,28
2022-01-08 10:00,424.88,325.54,6.9,0.7,24
2022-01-08 11:00,544.22,453.32,6.9,1.2,25
2022-01-08 12:00,446.59,414.06,8.9,1.2,20
2022-01-08 13:00,163.04,197.42,8.9,1.7,21
2022-01-08 14:00,120.4,134.42,9,1.4,22
2022-01-08 15:00,190.97,235.6,8.5,3.6,31
2022-01-08 16:00,60.77,85.79,7.5,4.4,35
2022-01-08 17:00,16.92,9.89,5.7,3.9,43
2022-01-08 18:00,0,0,5.1,1.8,45
2022-01-08 19:00,0,0,5.4,3.8,48
2022-01-08 20:00,0,0,5.8,4,48
2022-01-08 21:00,0,0,5.8,3.3,49
2022-01-08 22:00,0,0,5.3,1.5,53
2022-01-08 23:00,0,0,5.5,2.7,52
2022-01-09 0:00,0,0,5.9,2.4,54
2022-01-09 1:00,0,0,5.7,0.9,54
2022-01-09 2:00,0,0,5.6,1.1,53
2022-01-09 3:00,0,0,5.3,1.3,54
2022-01-09 4:00,0,0,5.7,0.7,51
2022-01-09 5:00,0,0,4.8,0.6,56
2022-01-09 6:00,0,0,5.3,0.9,54
2022-01-09 7:00,0,0,3.4,1.1,59
2022-01-09 8:00,24.98,73.17,4,0.1,56
2022-01-09 9:00,112.06,132.48,3.8,1.3,60
2022-01-09 10:00,30.53,341.25,6.1,0.6,54
2022-01-09 11:00,37.03,381.94,7.3,2.2,42
2022-01-09 12:00,0,0,7,5,48
2022-01-09 13:00,0,0,7.1,4.4,52
2022-01-09 14:00,22.3,286.56,7.4,4.4,55
2022-01-09 15:00,22.29,162.54,7,3.1,57
2022-01-09 16:00,7.4,35.22,6.8,2.3,56
2022-01-09 17:00,0,0,6.1,1.9,58
2022-01-09 18:00,0,0,6,1.9,59
2022-01-09 19:00,0,0,5.9,2.3,60
2022-01-09 20:00,0,0,4.5,1.4,64
2022-01-09 21:00,0,0,2.9,1.2,73
2022-01-09 22:00,0,0,2.5,1.6,74
2022-01-09 23:00,0,0,1.7,2,79
2022-01-10 0:00,0,0,0.9,1.6,82
2022-01-10 1:00,0,0,0.6,1.7,82
2022-01-10 2:00,0,0,0.2,2.2,83
2022-01-10 3:00,0,0,0.1,1.8,84
2022-01-10 4:00,0,0,0,1.8,84
2022-01-10 5:00,0,0,0.4,1.6,81
2022-01-10 6:00,0,0,0.1,1.5,80
2022-01-10 7:00,0,0,0.2,1.9,83
2022-01-10 8:00,0,0,0.1,1.7,84
2022-01-10 9:00,0,0,0.9,1.3,76
2022-01-10 10:00,0,0,4.3,0.9,64
2022-01-10 11:00,0,0,7.3,0.6,52
2022-01-10 12:00,0,0,7.2,1.4,56
2022-01-10 13:00,0,0,7.7,2.4,53
2022-01-10 14:00,0,0,8,2.3,53
2022-01-10 15:00,0,0,7.8,2,56
2022-01-10 16:00,0,0,7.5,1.4,59
2022-01-10 17:00,0,0,7.1,1.5,62
2022-01-10 18:00,0,0,6.5,1.4,65
2022-01-10 19:00,0,0,6.3,1.1,68
2022-01-10 20:00,0,0,5.9,0.9,66
2022-01-10 21:00,0,0,4.8,1.5,71
2022-01-10 22:00,0,0,5.2,1.6,53
2022-01-10 23:00,0,0,5.7,1.8,38
2022-01-11 0:00,0,0,5.1,1.7,45
2022-01-11 1:00,0,0,4,1.3,53
2022-01-11 2:00,0,0,4,3.7,54
2022-01-11 3:00,0,0,4.1,4.6,53
2022-01-11 4:00,0,0,3.7,3.1,53
2022-01-11 5:00,0,0,3.3,3,54
2022-01-11 6:00,0,0,3.5,3.8,52
2022-01-11 7:00,0,0,2.6,4.3,37
