date,AC_W,SOL_RAD_SLOPE,TEMP,HM,WS
2023-01-01 0:00,0,0,2.4,47,1.1
2023-01-01 1:00,0,0,2.4,49,0.3
2023-01-01 2:00,0,0,3.6,45,3.2
2023-01-01 3:00,0,0,3.4,44,3
2023-01-01 4:00,0,0,3.7,43,2.6
2023-01-01 5:00,0,0,3.7,45,3.2
2023-01-01 6:00,0,0,3,46,1.2
2023-01-01 7:00,13.86,12.58,4,43,2.5
2023-01-01 8:00,90.24,83.74,4.1,39,2.5
2023-01-01 9:00,249.4,219.63,5.2,32,2.3
2023-01-01 10:00,463.4,347.74,6.2,24,2.4
2023-01-01 11:00,517.55,420.29,6.7,23,4
2023-01-01 12:00,511.44,441.55,8.1,20,3.3
2023-01-01 13:00,455.23,417.96,9.1,17,3.4
2023-01-01 14:00,339.61,345.37,9.8,17,2.2
2023-01-01 15:00,173.67,223.45,8.6,18,3.8
2023-01-01 16:00,53.57,85.28,7.7,20,3.6
2023-01-01 17:00,13.55,10.06,6.7,20,4.1
2023-01-01 18:00,0,0,6.4,18,3.5
2023-01-01 19:00,0,0,6,17,3.1
2023-01-01 20:00,0,0,4.8,18,1.3
2023-01-01 21:00,0,0,4.7,16,2
2023-01-01 22:00,0,0,4.2,14,2.4
2023-01-01 23:00,0,0,3.5,14,3
2023-01-02 0:00,0,0,3.1,15,3.9
2023-01-02 1:00,0,0,2.2,17,2.7
2023-01-02 2:00,0,0,1.8,16,2.8
2023-01-02 3:00,0,0,1.3,16,2.5
2023-01-02 4:00,0,0,0.7,16,2.3
2023-01-02 5:00,0,0,-0.9,22,1
2023-01-02 6:00,0,0,-0.4,20,2.1
2023-01-02 7:00,10.54,14.58,-1.3,24,1.2
2023-01-02 8:00,81.11,70.51,-1,23,0.6
2023-01-02 9:00,214.2,26.86,0.2,22,0.5
2023-01-02 10:00,0,0,3.3,16,0.3
2023-01-02 11:00,46.16,0,3.8,13,2.6
2023-01-02 12:00,0,0,4.6,20,3.3
2023-01-02 13:00,0,0,4.5,22,3
2023-01-02 14:00,0,0,4.4,23,2
2023-01-02 15:00,0,0,5,26,1
2023-01-02 16:00,0,0,4.4,33,1
2023-01-02 17:00,3.47,0,3,41,0.4
2023-01-02 18:00,0,0,2.5,39,1.1
2023-01-02 19:00,0,0,1.2,40,0.7
2023-01-02 20:00,0,0,1.2,28,0.9
2023-01-02 21:00,0,0,2.3,21,1.2
2023-01-02 22:00,0,0,1.2,26,1.2
2023-01-02 23:00,0,0,0.7,25,0.8
2023-01-03 0:00,0,0,0.8,25,1.3
2023-01-03 1:00,0,0,1.5,20,2.1
2023-01-03 2:00,0,0,1.2,20,1.3
2023-01-03 3:00,0,0,1.1,20,2.2
2023-01-03 4:00,0,0,0.2,25,2
2023-01-03 5:00,0,0,-1.3,28,1.1
2023-01-03 6:00,0,0,-1.3,27,1.4
2023-01-03 7:00,0,0,-0.8,25,1.5
2023-01-03 8:00,0,0,0.1,21,0.7
2023-01-03 9:00,0,0,1.9,17,0.4
2023-01-03 10:00,218.06,382.38,3.2,14,3
2023-01-03 11:00,0,0,5.1,12,1.6
2023-01-03 12:00,0,0,6.1,11,1.4
2023-01-03 13:00,0,0,6.7,12,2.7
2023-01-03 14:00,0,0,6.7,12,2.8
2023-01-03 15:00,0,0,6.1,14,3.5
2023-01-03 16:00,0,0,5.4,14,4
2023-01-03 17:00,0,0,3.4,17,3.4
2023-01-03 18:00,0,0,2.9,17,5.2
2023-01-03 19:00,0,0,2.4,18,3.8
