date,AC_W,Curr_Short_Battery,Curr_Long_Battery,Projected_Power_Production,Season,Predicted_Power_Consumption,Select_Storage_Battery,Select_Supply_Battery,Light_Control
2022-01-01 0:00,0,2974.9995,200000,0,0,0,Stop Storage,Long,1
2022-01-01 1:00,0,2974.9995,199825,0,0,0,Stop Storage,Short,1
2022-01-01 2:00,0,2869.683552,199825,0,0,0,Stop Storage,Short,1
2022-01-01 3:00,0,2764.367604,199825,0,0,0,Stop Storage,Short,1
2022-01-01 4:00,0,2659.051656,199825,0,0,0,Stop Storage,Short,1
2022-01-01 5:00,0,2553.735709,199825,0,0,0,Stop Storage,Short,1
2022-01-01 6:00,0,2448.419761,199825,2.9522903,0,0,Stop Storage,Short,1
2022-01-01 7:00,12.39,2343.103813,199825,0,0,0,Short,Short,1
2022-01-01 8:00,129.16,2248.938865,199825,52.62422,0,1,Short,Stop Supply,0
2022-01-01 9:00,295.67,2365.182865,199825,71.737595,0,1,Short,Stop Supply,0
2022-01-01 10:00,511.98,2631.285865,199825,262.90317,0,1,Short,Stop Supply,0
2022-01-01 11:00,554.95,3092.067865,199825,376.82803,0,1,Short,Stop Supply,0
2022-01-01 12:00,552,3591.522865,199825,436.85083,0,1,Short,Stop Supply,0
2022-01-01 13:00,483.95,4088.322865,199825,382.16943,0,1,Short,Stop Supply,0
2022-01-01 14:00,349.06,4523.877865,199825,337.308,0,1,Short,Stop Supply,0
2022-01-01 15:00,181.24,4838.031865,199825,177.21645,0,1,Short,Stop Supply,0
2022-01-01 16:00,55.24,5001.147865,199825,35.13165,0,1,Short,Stop Supply,0
2022-01-01 17:00,6.86,5050.863865,199825,0,0,0,Short,Short,1
2022-01-01 18:00,0,4951.721917,199825,0,0,0,Stop Storage,Short,1
2022-01-01 19:00,0,4846.405969,199825,0,0,0,Stop Storage,Short,1
2022-01-01 20:00,0,4741.090022,199825,0,0,0,Stop Storage,Short,1
2022-01-01 21:00,0,4635.774074,199825,0,0,0,Stop Storage,Short,1
2022-01-01 22:00,0,4530.458126,199825,0,0,0,Stop Storage,Short,1
2022-01-01 23:00,0,4425.142178,199825,0,0,0,Stop Storage,Short,1
2022-01-02 0:00,0,4319.82623,199825,0,0,0,Stop Storage,Short,1
2022-01-02 1:00,0,4214.510282,199825,0,0,0,Stop Storage,Short,1
2022-01-02 2:00,0,4109.194335,199825,0,0,0,Stop Storage,Short,1
2022-01-02 3:00,0,4003.878387,199825,0,0,0,Stop Storage,Short,1
2022-01-02 4:00,0,3898.562439,199825,0,0,0,Stop Storage,Short,1
2022-01-02 5:00,0,3793.246491,199825,2.4505324,0,0,Stop Storage,Short,1
2022-01-02 6:00,0,3687.930543,199825,0,0,0,Stop Storage,Short,1
2022-01-02 7:00,0,3582.614595,199825,0,0,0,Stop Storage,Short,1
2022-01-02 8:00,14.27,3477.298647,199825,28.464424,0,1,Short,Stop Supply,0
2022-01-02 9:00,118.42,3490.141647,199825,272.2479,0,1,Short,Stop Supply,0
2022-01-02 10:00,394.51,3596.719647,199825,393.16556,0,1,Short,Stop Supply,0
2022-01-02 11:00,479.02,3951.778647,199825,503.51547,0,1,Short,Stop Supply,0
2022-01-02 12:00,517.59,4382.896647,199825,508.86154,0,1,Short,Stop Supply,0
2022-01-02 13:00,469.46,4848.727647,199825,398.2382,0,1,Short,Stop Supply,0
2022-01-02 14:00,350.9,5271.241647,199825,301.86575,0,1,Short,Stop Supply,0
2022-01-02 15:00,182.12,5587.051647,199825,155.8589,0,1,Short,Stop Supply,0
2022-01-02 16:00,56.38,5750.959647,199825,42.709213,0,1,Short,Stop Supply,0
2022-01-02 17:00,10.26,5801.701647,199825,0,0,0,Short,Short,1
2022-01-02 18:00,0,5705.6197,199825,0,0,0,Stop Storage,Short,1
2022-01-02 19:00,0,5600.303752,199825,0,0,0,Stop Storage,Short,1
2022-01-02 20:00,0,5494.987804,199825,0,0,0,Stop Storage,Short,1
2022-01-02 21:00,0,5389.671856,199825,0,0,0,Stop Storage,Short,1
2022-01-02 22:00,0,5284.355908,199825,0,0,0,Stop Storage,Short,1
2022-01-02 23:00,0,5179.03996,199825,0,0,0,Stop Storage,Short,1
2022-01-03 0:00,0,5073.724013,199825,0,0,0,Stop Storage,Short,1
2022-01-03 1:00,0,4968.408065,199825,0,0,0,Stop Storage,Short,1
2022-01-03 2:00,0,4863.092117,199825,0,0,0,Stop Storage,Short,1
2022-01-03 3:00,0,4757.776169,199825,0,0,0,Stop Storage,Short,1
2022-01-03 4:00,0,4652.460221,199825,0,0,0,Stop Storage,Short,1
2022-01-03 5:00,0,4547.144273,199825,1.2386191,0,0,Stop Storage,Short,1
2022-01-03 6:00,0,4441.828325,199825,0,0,0,Stop Storage,Short,1
2022-01-03 7:00,0,4336.512378,199825,0,0,0,Stop Storage,Short,1
2022-01-03 8:00,37.73,4231.19643,199825,122.16319,0,1,Short,Stop Supply,0
2022-01-03 9:00,300.53,4265.15343,199825,232.48,0,1,Short,Stop Supply,0
2022-01-03 10:00,505.99,4535.63043,199825,407.64847,0,1,Short,Stop Supply,0
2022-01-03 11:00,548.25,4991.02143,199825,485.84204,0,1,Short,Stop Supply,0
2022-01-03 12:00,566.96,5484.44643,199825,497.60178,0,1,Short,Stop Supply,0
2022-01-03 13:00,464.58,5994.71043,199825,458.7291,0,1,Short,Stop Supply,0
2022-01-03 14:00,333.76,6412.83243,199825,355.31604,0,1,Short,Stop Supply,0
2022-01-03 15:00,178.39,6713.21643,199825,194.84235,0,1,Short,Stop Supply,0
2022-01-03 16:00,58.44,6873.76743,199825,61.368202,0,1,Short,Stop Supply,0
2022-01-03 17:00,13.61,6926.36343,199825,0,0,0,Short,Short,1
2022-01-03 18:00,0,6833.296482,199825,0,0,0,Stop Storage,Short,1
2022-01-03 19:00,0,6727.980534,199825,0,0,0,Stop Storage,Short,1
2022-01-03 20:00,0,6622.664586,199825,0,0,0,Stop Storage,Short,1
2022-01-03 21:00,0,6517.348638,199825,0,0,0,Stop Storage,Short,1
2022-01-03 22:00,0,6412.032691,199825,0,0,0,Stop Storage,Short,1
2022-01-03 23:00,0,6306.716743,199825,0,0,0,Stop Storage,Short,1
2022-01-04 0:00,0,6201.400795,199825,0,0,0,Stop Storage,Short,1
2022-01-04 1:00,0,6096.084847,199825,0,0,0,Stop Storage,Short,1
2022-01-04 2:00,0,5990.768899,199825,0,0,0,Stop Storage,Short,1
2022-01-04 3:00,0,5885.452951,199825,0,0,0,Stop Storage,Short,1
